step,loss,eval_loss
0,,0.8395097851753235
50,0.8127,
50,,0.8390887379646301
100,0.8084,
100,,0.8292194604873657
150,0.7673,
150,,0.7638373970985413
200,0.6704,
200,,0.6345332264900208
250,0.5568,
250,,0.5530888438224792
300,0.504,
300,,0.5231394171714783
350,0.474,
350,,0.5127655863761902
400,0.4776,
400,,0.5104387998580933
420,,
